epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
23;0.28893575072288513;0.895988;0.6187315077111953;0.8871906402170274;0.5673510265398097;0.90580714;0.7494577;0.9818024;0.34776044;0.8895096;0.5573444942731375;0.8600876268630174;0.28567954897880554;0.5045871559633027;0.9033865;0.6904762;0.9766691;0.3325688
24;0.289718896150589;0.89632857;0.6173854095802079;0.8871268888233578;0.5712128837443382;0.91061455;0.7158774;0.9758941;0.38802215;0.88982;0.5549999282748294;0.8585819003273247;0.2824501097202301;0.5137614678899083;0.90774906;0.6680498;0.971285;0.36926606
25;0.28587421774864197;0.89687353;0.6222578083449101;0.8892814916620868;0.5762455963764469;0.90672296;0.7524013;0.98172367;0.35480624;0.8888889;0.5628223148746465;0.8601905332692297;0.27945631742477417;0.5148741418764302;0.90385896;0.6805556;0.9752333;0.33715597
26;0.28422433137893677;0.8956474;0.6247487409080791;0.8895567763647892;0.5702063412179165;0.901742;0.7883397;0.9868442;0.3130347;0.88919926;0.5649233341556954;0.8623787350909199;0.2799840569496155;0.5275229357798165;0.89963806;0.715847;0.9813352;0.30045873
27;0.28449517488479614;0.8951706;0.6293282820672128;0.8910224240769667;0.579476861167002;0.90151894;0.7835443;0.98652905;0.3115249;0.8888889;0.5602022223102282;0.8611249234376338;0.2806476950645447;0.5170842824601367;0.90039575;0.70526314;0.9798995;0.30733946
28;0.2813465893268585;0.89700973;0.6344479367356602;0.8925698622898532;0.5779678068410463;0.90339106;0.78928137;0.9863715;0.32611978;0.8867163;0.5552344301130616;0.8571659081778487;0.28310272097587585;0.5100671140939598;0.8985841;0.6918919;0.9795406;0.29357797
29;0.28499436378479004;0.8984402;0.6298139440717347;0.8904241600654769;0.5732259687971817;0.906997;0.7701525;0.983378;0.3558128;0.8882682;0.5576068066804133;0.8590824370871394;0.2815321087837219;0.5;0.9019218;0.6862745;0.977028;0.32110092
30;0.28512728214263916;0.8960561;0.633017368238407;0.8935936708187274;0.5822848515349773;0.901958;0.792142;0.9870805;0.31454453;0.8888889;0.5617210543550831;0.860272858394199;0.28163444995880127;0.5137614678899083;0.89881736;0.71910113;0.9820531;0.29357797
31;0.28440067172050476;0.8951706;0.6309677716612724;0.8921549033583583;0.58379466532461;0.9014612;0.78426397;0.98660785;0.31102163;0.8867163;0.5584393144443781;0.8564101635306283;0.2848353981971741;0.5114678899082569;0.89805984;0.6961326;0.98025846;0.28899083
32;0.2849145829677582;0.89653295;0.6356272973741203;0.8934413097454235;0.5882352941176471;0.90264463;0.7910448;0.9867654;0.32008052;0.88919926;0.5614834319142825;0.8579817501662967;0.28095370531082153;0.5114678899082569;0.8999012;0.7135135;0.9809763;0.3027523
33;0.28565678000450134;0.8976909;0.6346860658034622;0.8915623286037041;0.579768495218923;0.9020115;0.81865966;0.9891287;0.31353799;0.8916822;0.561369211686765;0.8569872626566647;0.2825351357460022;0.5045662100456622;0.8991156;0.75739646;0.98528355;0.29357797
34;0.27954402565956116;0.8995981;0.6386161498598144;0.8944481496197635;0.5827881227981883;0.90687555;0.78723407;0.9850323;0.3537997;0.88764745;0.5536351069221365;0.8580237359800312;0.28210192918777466;0.5114678899082569;0.90212345;0.67788464;0.9759512;0.3233945
35;0.2823246717453003;0.8982358;0.6415693364229418;0.8950859807275731;0.5868142929038752;0.9040987;0.799514;0.9870017;0.3311525;0.88702667;0.5595338320665892;0.8587885363909983;0.2819080054759979;0.5114678899082569;0.89914304;0.69148934;0.97918165;0.29816514
