epoch;loss;train_acc;train_auprc;train_auroc;train_minpse;train_prec0;train_prec1;train_rec0;train_rec1;val_acc;val_auprc;val_auroc;val_loss;val_minpse;val_prec0;val_prec1;val_rec0;val_rec1
0;0.08210555464029312;0.98025;0.19022567509835994;0.834482421875;0.25609756097560976;0.9806056;0.625;0.99961734;0.03125;0.9765;0.22444800720589694;0.8614244940895825;0.08990631997585297;0.2679425837320574;0.97696835;0.6363636;0.99948776;0.036649216
1;0.07373658567667007;0.978125;0.25426382521342156;0.8680929112989414;0.3;0.97847176;0.71428573;0.9996164;0.04178273;0.976375;0.2268703841168409;0.860157329541226;0.07481547445058823;0.26903553299492383;0.97684604;0.6;0.99948776;0.03141361
2;0.07485079020261765;0.981;0.2792195472290609;0.8812830835459183;0.3241590214067278;0.98146296;0.75;0.9994898;0.075;0.975625;0.2731212170266683;0.8818001061455208;0.07995044440031052;0.32038834951456313;0.9760802;0.73333335;0.99948704;0.054455444
0;0.08854955434799194;0.9790625;0.25756246159231483;0.871458059808262;0.29213483146067415;0.97999626;0.6981132;0.99897724;0.10393258;0.97675;0.2163349217237662;0.8527340248431297;0.08972455561161041;0.2513089005235602;0.97805095;0.5925926;0.99859136;0.083769634
